Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,10uF,
"C10, C11, C12, C13, C14, C15, C3, C5, C6, C8, C9",0402,11,0.1uF,
"C16, C17",0402,2,33pF,
"C4, C7",0402,2,1uF,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D7, D8, D9",0402,61,D,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
J4,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
"R1, R2",0402,2,5.1K,
R3,0402,1,10K,
"R4, R7",0402,2,1K,
"R5, R6",0402,2,27,
"SW1, SW10, SW11, SW12, SW13, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW3, SW30, SW31, SW32, SW33, SW34, SW35, SW36, SW37, SW38, SW39, SW4, SW40, SW43, SW44, SW45, SW46, SW47, SW48, SW49, SW5, SW50, SW51, SW52, SW6, SW7, SW8, SW9",SW_Cherry_MX_PCB_1.00u,46,SW_Push,
SW14,SW_Cherry_MX_PCB_2.00u,1,SW_Push,
"SW15, SW28",SW_Cherry_MX_PCB_1.50u,2,SW_Push,
SW29,SW_Cherry_MX_PCB_1.75u,1,SW_Push,
"SW41, SW42",SW_Cherry_MX_PCB_2.25u,2,SW_Push,
SW53,SW_Cherry_MX_PCB_2.75u,1,SW_Push,
"SW54, SW55, SW56, SW58, SW59, SW60, SW61",SW_Cherry_MX_PCB_1.25u,7,SW_Push,
SW57,SW_Cherry_MX_PCB_6.25u,1,SW_Push,
SW62,SW_Push_SPST_NO_Alps_SKRK,1,SW_Push,
U1,SOT-23,1,MCP1700x-330xxTT,
U2,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,1,W25Q16JVUXIQ TR,
U3,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12 MHz,
