Designator,Mid X,Mid Y,Rotation,Layer
C1,308.00625,-64.255,180.0,bottom
C10,306.60625,-71.295,0.0,bottom
C11,308.93625,-80.525,0.0,bottom
C12,317.13625,-75.495,180.0,bottom
C13,308.80625,-79.245,0.0,bottom
C14,317.04625,-71.635,180.0,bottom
C15,313.34625,-65.975,90.0,bottom
C16,315.40125,-79.19,0.0,bottom
C17,317.53125,-81.64,270.0,bottom
C2,304.13625,-69.055,270.0,bottom
C3,317.10625,-74.465,180.0,bottom
C4,312.12625,-67.585,90.0,bottom
C5,310.56625,-79.865,270.0,bottom
C6,309.02625,-69.285,90.0,bottom
C7,307.48625,-70.165,0.0,bottom
C8,310.88625,-82.045,270.0,bottom
C9,306.51625,-75.285,0.0,bottom
D1,67.73125,-72.72375,0.0,bottom
D10,239.18125,-72.72375,0.0,bottom
D11,258.23125,-72.72375,0.0,bottom
D12,277.28125,-72.72375,0.0,bottom
D13,296.33125,-72.72375,0.0,bottom
D14,324.90625,-72.72375,0.0,bottom
D15,72.49375,-91.77375,0.0,bottom
D16,96.30625,-91.77375,0.0,bottom
D17,115.35625,-91.77375,0.0,bottom
D18,134.40625,-91.77375,0.0,bottom
D19,153.45625,-91.77375,0.0,bottom
D2,86.78125,-72.72375,0.0,bottom
D20,172.50625,-91.77375,0.0,bottom
D21,191.55625,-91.77375,0.0,bottom
D22,210.60625,-91.77375,0.0,bottom
D23,229.65625,-91.77375,0.0,bottom
D24,248.70625,-91.77375,0.0,bottom
D25,267.75625,-91.77375,0.0,bottom
D26,286.80625,-91.77375,0.0,bottom
D27,305.85625,-91.77375,0.0,bottom
D28,329.66875,-91.77375,0.0,bottom
D29,74.875,-110.82375,0.0,bottom
D3,105.83125,-72.72375,0.0,bottom
D30,101.06875,-110.82375,0.0,bottom
D31,120.11875,-110.82375,0.0,bottom
D32,139.16875,-110.82375,0.0,bottom
D33,158.21875,-110.82375,0.0,bottom
D34,177.26875,-110.82375,0.0,bottom
D35,196.31875,-110.82375,0.0,bottom
D36,215.36875,-110.82375,0.0,bottom
D37,234.41875,-110.82375,0.0,bottom
D38,253.46875,-110.82375,0.0,bottom
D39,272.51875,-110.82375,0.0,bottom
D4,124.88125,-72.72375,0.0,bottom
D40,291.56875,-110.82375,0.0,bottom
D41,322.525,-110.82375,0.0,bottom
D42,79.6375,-129.87375,0.0,bottom
D43,110.59375,-129.87375,0.0,bottom
D44,129.64375,-129.87375,0.0,bottom
D45,148.69375,-129.87375,0.0,bottom
D46,167.74375,-129.87375,0.0,bottom
D47,186.79375,-129.87375,0.0,bottom
D48,205.84375,-129.87375,0.0,bottom
D49,224.89375,-129.87375,0.0,bottom
D5,143.93125,-72.72375,0.0,bottom
D50,243.94375,-129.87375,0.0,bottom
D51,262.99375,-129.87375,0.0,bottom
D52,282.04375,-129.87375,0.0,bottom
D53,317.7625,-129.87375,0.0,bottom
D54,70.1125,-148.92375,0.0,bottom
D55,93.925,-148.92375,0.0,bottom
D56,117.7375,-148.92375,0.0,bottom
D57,189.175,-148.92375,0.0,bottom
D58,260.6125,-148.92375,0.0,bottom
D59,284.425,-148.92375,0.0,bottom
D6,162.98125,-72.72375,0.0,bottom
D60,308.2375,-148.92375,0.0,bottom
D61,332.05,-148.92375,0.0,bottom
D7,182.03125,-72.72375,0.0,bottom
D8,201.08125,-72.72375,0.0,bottom
D9,220.13125,-72.72375,0.0,bottom
J1,311.06625,-53.42,180.0,bottom
J4,316.57625,-86.525,90.0,bottom
R1,309.45625,-59.735,270.0,bottom
R2,312.44625,-59.745,270.0,bottom
R3,317.56625,-66.765,225.0,bottom
R4,317.52625,-65.055,180.0,bottom
R5,311.12625,-68.765,270.0,bottom
R6,310.00625,-68.765,270.0,bottom
R7,311.98625,-80.955,90.0,bottom
SW1,67.73125,-67.745,180.0,top
SW10,239.18125,-67.745,180.0,top
SW11,258.23125,-67.745,180.0,top
SW12,277.28125,-67.745,180.0,top
SW13,296.33125,-67.745,180.0,top
SW14,324.90625,-67.745,180.0,top
SW15,72.49375,-86.795,180.0,top
SW16,96.30625,-86.795,180.0,top
SW17,115.35625,-86.795,180.0,top
SW18,134.40625,-86.795,180.0,top
SW19,153.45625,-86.795,180.0,top
SW2,86.78125,-67.745,180.0,top
SW20,172.50625,-86.795,180.0,top
SW21,191.55625,-86.795,180.0,top
SW22,210.60625,-86.795,180.0,top
SW23,229.65625,-86.795,180.0,top
SW24,248.70625,-86.795,180.0,top
SW25,267.75625,-86.795,180.0,top
SW26,286.80625,-86.795,180.0,top
SW27,305.85625,-86.795,180.0,top
SW28,329.66875,-86.795,180.0,top
SW29,74.875,-105.845,180.0,top
SW3,105.83125,-67.745,180.0,top
SW30,101.06875,-105.845,180.0,top
SW31,120.11875,-105.845,180.0,top
SW32,139.16875,-105.845,180.0,top
SW33,158.21875,-105.845,180.0,top
SW34,177.26875,-105.845,180.0,top
SW35,196.31875,-105.845,180.0,top
SW36,215.36875,-105.845,180.0,top
SW37,234.41875,-105.845,180.0,top
SW38,253.46875,-105.845,180.0,top
SW39,272.51875,-105.845,180.0,top
SW4,124.88125,-67.745,180.0,top
SW40,291.56875,-105.845,180.0,top
SW41,322.525,-105.845,180.0,top
SW42,79.6375,-124.895,180.0,top
SW43,110.59375,-124.895,180.0,top
SW44,129.64375,-124.895,180.0,top
SW45,148.69375,-124.895,180.0,top
SW46,167.74375,-124.895,180.0,top
SW47,186.79375,-124.895,180.0,top
SW48,205.84375,-124.895,180.0,top
SW49,224.89375,-124.895,180.0,top
SW5,143.93125,-67.745,180.0,top
SW50,243.94375,-124.895,180.0,top
SW51,262.99375,-124.895,180.0,top
SW52,282.04375,-124.895,180.0,top
SW53,317.7625,-124.895,180.0,top
SW54,70.1125,-143.945,180.0,top
SW55,93.925,-143.945,180.0,top
SW56,117.7375,-143.945,180.0,top
SW57,189.175,-143.945,180.0,top
SW58,260.6125,-143.945,180.0,top
SW59,284.425,-143.945,180.0,top
SW6,162.98125,-67.745,180.0,top
SW60,308.2375,-143.945,180.0,top
SW61,332.05,-143.945,180.0,top
SW62,316.44625,-61.595,270.0,bottom
SW7,182.03125,-67.745,180.0,top
SW8,201.08125,-67.745,180.0,top
SW9,220.13125,-67.745,180.0,top
U1,306.76625,-67.295,270.0,bottom
U2,316.25625,-68.295,45.0,bottom
U3,311.76625,-74.485,90.0,bottom
Y1,314.79125,-81.56,0.0,bottom
